facilityid,name,latitude,longitude,baseline_summer_avg_tmax_f,threshold_f,source,prism_scale_m,retrieved
10006510,Otay Mesa Detention Center,32.57596504758365,-116.91564013788977,78.4,88.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10001521,Del Norte County Jail,41.75310253863079,-124.20082671366757,62.6,72.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000914,Dorothy Kirby Center,34.011725929422504,-118.16917483066176,82.4,92.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006313,Baldwin Park Jail,34.08542320534737,-117.95972580356398,89.7,99.7,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006488,Claremont Jail,34.096233053161434,-117.72245587010627,88.9,98.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006489,Concord Jail,37.97087039089063,-122.031692397237,85.2,95.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006495,Monrovia Jail,34.14789596650148,-117.9992566100296,88.9,98.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006498,Signal Hill City Jail,33.80680219254155,-118.17245189767004,77.8,87.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006492,Culver City Jail,34.020764242179446,-118.39508559710085,75.3,85.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006179,Fci Mendota,36.73364122914027,-120.3924603239434,92.5,102.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000864,Usp Lompoc,34.679187474299496,-120.50548010652062,68.5,78.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10002351,Bell City Jail,33.97910744065924,-118.18841160133736,81.1,91.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000771,Alder Conservation Camp #20,41.50102605418069,-124.0614026616772,68.4,78.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005258,Sugar Pine Conservation Camp #9,40.74594991511181,-122.0926140282548,92.6,102.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000871,Mcc San Diego,32.713963558611916,-117.1660704622264,73.7,83.7,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005267,Salt Creek Conservation Camp #7,39.81202088855824,-122.62925447861537,92.3,102.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005319,Owens Valley Conservation Camp #26,37.38924437916502,-118.55153489518936,90.7,100.7,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005362,Ventura Conservation Camp #46,34.246176183785806,-119.10677775352286,76.0,86.0,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
